latitude,longitude,time
43.44383,6.76728,1254493883.0
43.44383,6.76728,1254560773.0
43.5061,1.55612,1254562593.0
43.45838,1.57183,1254567994.0
43.45824,1.57188,1254577649.0
43.45824,1.57217,1254585149.0
43.45841,1.57182,1254586469.0
43.45805,1.57177,1254595413.0
43.45797,1.57178,1254596315.0
43.45849,1.57123,1254597876.0
43.45849,1.57123,1254653354.0
43.45853,1.57168,1254656279.0
43.45853,1.57166,1254656937.0
43.45839,1.57192,1254661077.0
43.45856,1.57212,1254681295.0
43.45775,1.57168,1254682915.0
43.45828,1.57194,1254684535.0
43.45834,1.5718,1254686036.0
43.45834,1.5718,1263391387.0
43.45834,1.5718,1263482426.0
43.46538,1.57208,1263490865.0
43.4584,1.57184,1263493563.0
43.45887,1.57166,1263494102.0
43.45815,1.57176,1263494882.0
43.45831,1.57157,1263496442.0
43.45831,1.57157,1263582083.0
43.45831,1.57157,1263665532.0
43.45831,1.57157,1263746216.0
43.45855,1.57211,1263749764.0
43.45855,1.57211,1263974321.0
43.45827,1.57151,1265796556.0
43.55671,1.47006,1265804721.0
43.45841,1.57177,1265813859.0
43.4582,1.57231,1265821647.0
43.45839,1.57168,1265824107.0
43.45787,1.57402,1265824767.0
43.45882,1.5713,1265826387.0
43.45882,1.5713,1265829037.0
43.45839,1.57217,1265829824.0
43.45868,1.57155,1265831348.0
43.46739,1.57196,1265832819.0
43.45833,1.57164,1265833704.0
43.45824,1.5717,1265840287.0
43.45802,1.57161,1265842446.0
43.45842,1.57154,1265856787.0
43.48376,1.5452,1265911543.0
43.45843,1.57146,1265915803.0
48.84517,2.34534,1266439978.0
43.46159,1.56636,1266444186.0
43.64561,1.45032,1266717244.0
48.86998,2.27407,1268239626.0
48.86997,2.27397,1268292097.0
48.88557,2.31198,1268293369.0
48.88631,2.31268,1268315741.0
48.88636,2.31315,1268344366.0
48.8864,2.3131,1268384391.0
48.83209,2.31409,1269956509.0
48.84578,2.26708,1269957663.0
48.83319,2.31586,1269979675.0
48.83303,2.31615,1269980154.0
48.83209,2.31409,1269980642.0
48.83209,2.31409,1269985266.0
48.83619,2.32504,1269986403.0
48.83619,2.32504,1269987367.0
48.83619,2.32504,1269987965.0
48.83619,2.32504,1269988322.0
48.83619,2.32504,1269990667.0
48.83619,2.32504,1269992049.0
48.8367,2.26693,1270043731.0
48.84636,2.26432,1270053581.0
48.84497,2.26397,1270054664.0
48.83206,2.31691,1270071038.0
48.83206,2.31691,1270072596.0
48.84274,2.31217,1270108491.0
43.55662,1.47,1270564133.0
43.56118,1.47795,1274287890.0
43.5621,1.47741,1274288434.0
43.4611,1.57173,1274289770.0
43.4609,1.57165,1274291739.0
43.4609,1.57165,1274293192.0
43.4609,1.57165,1274295167.0
43.4609,1.57165,1274296959.0
43.45936,1.56319,1274297875.0
43.4585,1.57186,1274298955.0
43.45936,1.56319,1274299917.0
43.4585,1.57186,1274301407.0
43.4585,1.57186,1274301823.0
43.4585,1.57186,1274302126.0
43.4585,1.57186,1274303807.0
43.45936,1.56319,1274305911.0
43.45936,1.56319,1274308732.0
43.4585,1.57186,1274310529.0
43.4585,1.57186,1274311307.0
43.4585,1.57186,1274312326.0
43.4585,1.57186,1274313224.0
43.4585,1.57186,1274313880.0
43.4585,1.57186,1274314544.0
43.4585,1.57186,1274314845.0
43.4585,1.57186,1274315683.0
43.4585,1.57186,1274316403.0
43.4585,1.57186,1274316822.0
43.4585,1.57186,1274317303.0
43.45815,1.57318,1274319277.0
43.4585,1.57186,1274321688.0
43.5634,1.47638,1274344522.0
43.56269,1.47659,1274347664.0
43.5624,1.4774,1274350431.0
48.7218,2.3592,1274798042.0
45.89698,6.13951,1274869816.0
45.89698,6.13951,1274872446.0
45.90408,6.14633,1274872762.0
45.88952,6.13718,1274873773.0
45.91154,6.14764,1274874996.0
45.8857,6.14142,1274878473.0
45.89979,6.14775,1274879371.0
45.89979,6.14775,1274881829.0
45.89979,6.14775,1274883029.0
45.88924,6.13711,1274883747.0
45.88949,6.13721,1274885184.0
45.8962,6.15136,1274885734.0
45.8962,6.15136,1274887349.0
45.8962,6.15136,1274887834.0
45.8962,6.15136,1274888853.0
45.88928,6.13746,1274893408.0
45.88899,6.1377,1274893832.0
45.8962,6.15136,1274895811.0
45.8962,6.15136,1274897671.0
45.88951,6.13722,1274900004.0
45.8857,6.14142,1274904150.0
45.8857,6.14142,1274904748.0
45.88966,6.13697,1274907451.0
45.89657,6.865,1274975636.0
43.4717,1.56366,1274983431.0
43.45859,1.57173,1274990328.0
43.4609,1.57165,1274993205.0
43.4609,1.57165,1274997286.0
43.45859,1.57173,1274997646.0
43.4609,1.57165,1274998305.0
43.4609,1.57165,1274999145.0
43.4609,1.57165,1275000165.0
43.45859,1.57173,1275004066.0
43.45859,1.57173,1275004606.0
43.45859,1.57173,1275005267.0
43.45859,1.57173,1275005627.0
43.45882,1.57176,1275007806.0
43.45859,1.57173,1275011797.0
43.45859,1.57173,1275014553.0
43.45859,1.57173,1275015034.0
43.45859,1.57173,1275018154.0
43.45859,1.57173,1275018695.0
43.45859,1.57173,1275025178.0
43.56269,1.47662,1275035263.0
43.56341,1.47881,1275036043.0
43.5632,1.47612,1275036776.0
43.56269,1.47659,1275039512.0
43.56269,1.47659,1275040968.0
43.5628,1.47662,1275046158.0
43.56269,1.47663,1275047553.0
43.5632,1.477,1275055182.0
43.56343,1.47744,1275065418.0
43.4609,1.57165,1275070484.0
