latitude,longitude,time
43.44383,6.76728,1254560773.0
43.48308,1.57029,1254562354.0
43.4901,1.56436,1254562414.0
43.50372,1.55787,1254562475.0
43.50574,1.55672,1254562533.0
43.5061,1.55612,1254562593.0
43.50619,1.55616,1254564153.0
43.50603,1.55655,1254564213.0
43.50594,1.55612,1254564273.0
43.50641,1.55604,1254564394.0
43.50619,1.55607,1254564454.0
43.50593,1.55691,1254564514.0
43.50594,1.55691,1254564574.0
43.50516,1.55567,1254564634.0
43.49547,1.56262,1254564694.0
43.48887,1.56858,1254564754.0
43.48279,1.57219,1254564814.0
43.4708,1.57253,1254564874.0
43.46336,1.56978,1254564934.0
43.46011,1.57076,1254564994.0
43.45834,1.5716,1254565054.0
43.45823,1.57133,1254565114.0
43.45851,1.57185,1254565235.0
43.45856,1.57187,1254565295.0
43.45861,1.57183,1254565355.0
43.45854,1.57162,1254565415.0
43.45822,1.57129,1254565475.0
43.45785,1.57039,1254565533.0
43.45878,1.5717,1254565653.0
43.45887,1.57131,1254565713.0
43.45866,1.57143,1254565773.0
43.45859,1.57157,1254565833.0
43.4588,1.57183,1254565893.0
43.45831,1.57179,1254565953.0
43.45835,1.57184,1254566013.0
43.4584,1.57176,1254566073.0
43.45842,1.57173,1254566133.0
43.45844,1.57176,1254566193.0
43.45846,1.57165,1254566253.0
43.45853,1.57174,1254566313.0
43.45841,1.57168,1254566373.0
43.45849,1.57182,1254566433.0
43.45847,1.57176,1254566493.0
43.45848,1.5718,1254566553.0
43.45838,1.57175,1254566613.0
43.45843,1.57171,1254566673.0
43.45836,1.57159,1254566733.0
43.45846,1.57146,1254566793.0
43.45844,1.57169,1254566853.0
43.45858,1.57155,1254566913.0
43.45849,1.57175,1254566973.0
43.45855,1.57177,1254567033.0
43.45877,1.57168,1254567093.0
43.45848,1.57117,1254567213.0
43.45844,1.57215,1254567273.0
43.45892,1.57201,1254567393.0
43.45863,1.57175,1254567453.0
43.45868,1.57219,1254567513.0
43.45854,1.57203,1254567573.0
43.45855,1.57178,1254567633.0
43.45861,1.57173,1254567693.0
43.4586,1.57188,1254567753.0
43.45822,1.57219,1254567813.0
43.45853,1.57192,1254567873.0
43.45847,1.57196,1254567934.0
43.45838,1.57183,1254567994.0
43.45878,1.57193,1254570454.0
43.45866,1.57184,1254570514.0
43.45864,1.57182,1254570574.0
43.4585,1.57167,1254570634.0
43.45847,1.57184,1254570694.0
43.45841,1.57175,1254570753.0
43.45842,1.57159,1254570813.0
43.45858,1.57191,1254570873.0
43.45852,1.57178,1254570933.0
43.45845,1.57169,1254570993.0
43.45853,1.57182,1254571053.0
43.45874,1.57189,1254571113.0
43.45877,1.57203,1254571173.0
43.45883,1.57194,1254571233.0
43.45867,1.57192,1254571413.0
43.4585,1.57174,1254571473.0
43.45839,1.57177,1254571533.0
43.45841,1.57168,1254571593.0
43.45844,1.57171,1254571713.0
43.45829,1.57158,1254571773.0
43.45868,1.57181,1254571833.0
43.45849,1.57175,1254571893.0
43.45865,1.572,1254572013.0
43.4585,1.57176,1254572073.0
43.45852,1.57167,1254572193.0
43.45864,1.5718,1254572253.0
43.45852,1.57173,1254572313.0
43.45857,1.57184,1254572373.0
43.4585,1.57179,1254572433.0
43.45846,1.57175,1254572493.0
43.45865,1.57168,1254572553.0
43.45861,1.57161,1254572613.0
43.45847,1.5716,1254572673.0
43.4586,1.5718,1254572733.0
43.45869,1.57175,1254572793.0
43.45869,1.57172,1254572853.0
43.45847,1.57173,1254572913.0
43.45858,1.57175,1254572973.0
43.45855,1.57177,1254573033.0
43.45861,1.57175,1254573093.0
43.45883,1.57188,1254573153.0
43.45871,1.57205,1254573213.0
43.45859,1.57181,1254573273.0
43.45873,1.57145,1254573333.0
43.45855,1.57169,1254573393.0
43.45856,1.57178,1254573453.0
43.45855,1.57218,1254573513.0
43.45881,1.57191,1254573573.0
43.45854,1.57181,1254573634.0
43.45855,1.57178,1254573694.0
43.45848,1.57183,1254573754.0
43.45855,1.57181,1254573814.0
43.4586,1.5715,1254573874.0
43.45859,1.57156,1254573994.0
43.45859,1.5716,1254574054.0
43.45864,1.57143,1254574114.0
43.45853,1.57168,1254574174.0
43.45857,1.57148,1254574230.0
43.45854,1.57155,1254574290.0
43.45831,1.57194,1254574350.0
43.45844,1.5716,1254574470.0
43.45847,1.5718,1254574590.0
43.45883,1.5715,1254574710.0
43.45852,1.57178,1254574770.0
43.45843,1.57175,1254574830.0
43.45874,1.57138,1254574950.0
43.45866,1.57158,1254575010.0
43.45861,1.5715,1254575130.0
43.45865,1.5715,1254575190.0
43.45872,1.57163,1254575250.0
43.45863,1.57167,1254575310.0
43.45877,1.57129,1254575370.0
43.45887,1.57155,1254575430.0
