latitude,longitude,cluster
45.89698,6.13951,1
45.88952,6.13718,0
45.88961,6.13716,0
45.88944,6.13732,0
45.88943,6.13731,0
45.88965,6.13725,0
45.88936,6.13758,0
45.88941,6.13739,0
45.88937,6.13741,0
45.88948,6.13764,0
45.88957,6.13731,0
45.8857,6.14142,2
45.88941,6.13736,0
45.88952,6.13737,0
45.88924,6.13711,0
45.88899,6.13825,0
45.88945,6.13743,0
45.88914,6.13724,0
45.88924,6.13729,0
45.8893,6.13733,0
45.88949,6.13721,0
45.88953,6.13721,0
45.88968,6.13702,0
45.88954,6.13698,0
45.88981,6.13692,0
45.88952,6.13733,0
45.88951,6.1373,0
45.8894,6.13728,0
45.88929,6.13721,0
45.88934,6.13765,0
45.88914,6.13758,0
45.88972,6.13736,0
45.88926,6.13742,0
45.88932,6.13714,0
45.88932,6.13726,0
45.88938,6.13733,0
45.88941,6.13724,0
45.88933,6.13745,0
45.88937,6.13737,0
45.88935,6.13741,0
45.88928,6.1376,0
45.88937,6.13752,0
45.88938,6.13718,0
45.88966,6.13763,0
45.88951,6.13723,0
45.88941,6.13745,0
45.88953,6.13752,0
45.8896,6.1373,0
45.88926,6.13757,0
45.88943,6.13741,0
45.88952,6.13736,0
45.88952,6.13723,0
45.88952,6.13727,0
45.88965,6.13706,0
45.88948,6.13705,0
45.88956,6.13735,0
45.88948,6.13733,0
45.8895,6.13732,0
45.88953,6.13737,0
45.88961,6.13738,0
45.88928,6.13726,0
45.8895,6.13727,0
45.88942,6.13725,0
45.88941,6.13765,0
45.88886,6.13697,0
45.88944,6.1374,0
45.88934,6.13722,0
45.88938,6.13738,0
45.88907,6.1373,0
45.88949,6.13739,0
45.88957,6.13767,0
45.88924,6.13707,0
45.88946,6.13726,0
45.88951,6.13731,0
45.88914,6.1371,0
45.88952,6.13742,0
45.88938,6.13732,0
45.88963,6.13725,0
45.88952,6.13725,0
45.88937,6.13715,0
45.88952,6.13736,0
45.88948,6.13727,0
45.8893,6.13724,0
45.88933,6.13724,0
45.8895,6.13732,0
45.88943,6.13725,0
45.88944,6.13741,0
45.88934,6.13737,0
45.88956,6.13723,0
45.88946,6.13733,0
45.88928,6.13746,0
45.8891,6.13752,0
45.88899,6.1377,0
