latitude,longitude,cluster
43.44383,6.76728,3
43.45834,1.5718,4
43.45834,1.5718,4
43.49038,1.56715,4
43.4756,1.57584,4
43.46538,1.57208,4
43.55671,1.47006,1
43.45829,1.57159,4
43.45841,1.57177,4
43.45859,1.57162,4
43.45843,1.57182,4
43.45828,1.57202,4
43.45841,1.57186,4
43.45845,1.57185,4
43.45841,1.5717,4
43.4582,1.57231,4
43.45847,1.57145,4
43.45848,1.57159,4
43.45837,1.57185,4
43.45833,1.57195,4
43.45842,1.57191,4
43.45852,1.57194,4
43.45834,1.57178,4
43.45833,1.57183,4
43.4583,1.57165,4
43.45847,1.57156,4
43.45839,1.5718,4
43.45848,1.57166,4
43.45844,1.57164,4
43.4585,1.57179,4
43.45844,1.57171,4
43.45842,1.57175,4
43.45839,1.57164,4
43.45835,1.57171,4
43.45849,1.57172,4
43.45848,1.57167,4
43.45825,1.57158,4
43.45829,1.57148,4
43.45847,1.57162,4
43.45835,1.57205,4
43.4584,1.5717,4
43.45839,1.57168,4
43.45844,1.57194,4
43.45904,1.57292,4
43.45869,1.57324,4
43.45787,1.57402,4
48.8702,2.27246,2
48.86945,2.27571,2
48.86992,2.27393,2
48.86998,2.27407,2
48.88631,2.31268,9
48.83209,2.31409,9
48.84578,2.26708,2
48.83619,2.32504,9
48.83619,2.32504,9
48.8367,2.26693,2
48.8367,2.26693,2
48.84716,2.26453,2
48.8367,2.26693,2
48.84497,2.26397,2
48.84716,2.26453,2
48.84716,2.26453,2
48.8367,2.26693,2
48.84497,2.26397,2
48.84636,2.26432,2
48.84636,2.26432,2
48.84497,2.26397,2
48.84497,2.26397,2
48.84497,2.26397,2
48.84497,2.26397,2
48.84497,2.26397,2
48.84807,2.26223,2
48.84497,2.26397,2
48.84497,2.26397,2
48.84497,2.26397,2
48.84497,2.26397,2
48.84497,2.26397,2
48.84497,2.26397,2
48.84497,2.26397,2
48.84761,2.26558,2
43.56284,1.48012,1
43.56285,1.48011,1
43.56284,1.48015,1
43.56286,1.48012,1
43.56286,1.48008,1
43.56286,1.48009,1
43.56279,1.48001,1
43.56281,1.48008,1
43.56281,1.48008,1
43.56283,1.48009,1
43.56285,1.48008,1
43.56279,1.48014,1
43.56279,1.48009,1
43.56288,1.4801,1
43.56283,1.48005,1
43.56278,1.48,1
43.5628,1.48009,1
43.5628,1.4801,1
43.56293,1.48009,1
43.56289,1.48009,1
43.56287,1.48025,1
43.56285,1.4801,1
43.56285,1.4801,1
43.56299,1.48008,1
43.56291,1.48006,1
43.56281,1.48004,1
43.56286,1.4801,1
43.56287,1.48007,1
43.56287,1.48008,1
43.56286,1.4801,1
43.56282,1.48004,1
43.56295,1.48047,1
43.56288,1.48032,1
43.56283,1.48015,1
43.56288,1.48,1
43.5628,1.48001,1
43.56284,1.48007,1
43.56289,1.48028,1
43.56292,1.48012,1
43.56289,1.4801,1
43.56183,1.46927,1
43.56183,1.46927,1
43.56183,1.46927,1
43.56183,1.46927,1
43.56183,1.46927,1
43.56183,1.46927,1
43.56183,1.46927,1
43.56183,1.46927,1
43.55662,1.47,1
43.55662,1.47,1
43.56118,1.47795,1
43.5621,1.47741,1
43.4611,1.57173,4
43.4611,1.57173,4
43.4609,1.57165,4
43.4609,1.57165,4
48.7218,2.3592,8
45.89698,6.13951,0
45.90408,6.14633,0
45.88952,6.13718,0
45.88961,6.13716,0
45.88944,6.13732,0
45.88943,6.13731,0
45.88965,6.13725,0
45.88936,6.13758,0
45.88941,6.13739,0
45.88937,6.13741,0
45.88948,6.13764,0
45.88957,6.13731,0
45.91154,6.14764,0
45.8857,6.14142,0
45.89979,6.14775,0
45.89979,6.14775,0
45.89979,6.14775,0
45.89979,6.14775,0
45.89979,6.14775,0
45.89979,6.14775,0
45.8962,6.15136,0
45.89979,6.14775,0
45.89979,6.14775,0
45.89979,6.14775,0
45.89979,6.14775,0
45.89979,6.14775,0
45.89979,6.14775,0
45.89979,6.14775,0
45.89979,6.14775,0
45.8962,6.15136,0
45.89979,6.14775,0
45.89979,6.14775,0
45.89979,6.14775,0
45.89979,6.14775,0
45.89979,6.14775,0
45.88941,6.13736,0
45.88952,6.13737,0
45.88924,6.13711,0
45.88899,6.13825,0
45.88945,6.13743,0
45.88914,6.13724,0
45.88924,6.13729,0
45.8893,6.13733,0
45.88949,6.13721,0
45.88953,6.13721,0
45.8962,6.15136,0
45.8962,6.15136,0
45.8962,6.15136,0
45.8962,6.15136,0
45.8962,6.15136,0
45.88968,6.13702,0
45.88954,6.13698,0
45.88981,6.13692,0
45.88952,6.13733,0
45.88951,6.1373,0
45.8894,6.13728,0
45.88929,6.13721,0
45.88934,6.13765,0
45.88914,6.13758,0
45.88972,6.13736,0
45.88926,6.13742,0
45.88932,6.13714,0
45.88932,6.13726,0
45.88938,6.13733,0
45.88941,6.13724,0
45.88933,6.13745,0
45.88937,6.13737,0
45.88935,6.13741,0
45.88928,6.1376,0
45.88937,6.13752,0
45.88938,6.13718,0
45.88966,6.13763,0
45.88951,6.13723,0
45.88941,6.13745,0
45.88953,6.13752,0
45.8896,6.1373,0
45.88926,6.13757,0
45.88943,6.13741,0
45.88952,6.13736,0
45.88952,6.13723,0
45.88952,6.13727,0
45.88965,6.13706,0
45.88948,6.13705,0
45.88956,6.13735,0
45.88948,6.13733,0
45.8895,6.13732,0
45.88953,6.13737,0
45.88961,6.13738,0
45.88928,6.13726,0
45.8895,6.13727,0
45.88942,6.13725,0
45.88941,6.13765,0
45.88886,6.13697,0
45.88944,6.1374,0
45.88934,6.13722,0
45.88938,6.13738,0
45.88907,6.1373,0
45.88949,6.13739,0
45.88957,6.13767,0
45.88924,6.13707,0
45.88946,6.13726,0
45.88951,6.13731,0
45.88914,6.1371,0
45.88952,6.13742,0
45.88938,6.13732,0
45.88963,6.13725,0
45.88952,6.13725,0
45.88937,6.13715,0
45.88952,6.13736,0
45.88948,6.13727,0
45.8893,6.13724,0
45.88933,6.13724,0
45.8895,6.13732,0
45.88943,6.13725,0
45.88944,6.13741,0
45.88934,6.13737,0
45.88956,6.13723,0
45.88946,6.13733,0
45.88928,6.13746,0
45.8891,6.13752,0
45.88899,6.1377,0
45.8962,6.15136,0
45.89657,6.865,5
45.89657,6.865,5
43.6306,1.37284,6
43.62302,1.37399,6
43.63298,1.37897,6
43.63124,1.38177,6
43.62475,1.38822,6
43.60915,1.38737,6
43.6048,1.39794,6
43.59974,1.39747,6
43.59066,1.39923,6
43.58119,1.40507,6
43.57243,1.4107,6
43.56948,1.42443,6
43.57148,1.43563,1
43.57398,1.44908,1
43.57416,1.46739,1
43.56622,1.48319,1
43.55488,1.49454,1
43.54442,1.50364,1
43.53854,1.51,7
43.53093,1.51895,7
43.52156,1.52665,7
43.51662,1.53847,7
43.51662,1.54767,7
43.50993,1.55484,7
43.50302,1.55803,7
43.49152,1.56506,4
43.48518,1.57006,4
43.47313,1.57416,4
43.46352,1.5686,4
43.45887,1.56994,4
43.45836,1.57152,4
43.45838,1.57168,4
43.4717,1.56366,4
43.4717,1.56366,4
43.45839,1.5718,4
43.45843,1.57187,4
43.45839,1.57176,4
