latitude,longitude,time
43.44383,6.76728,1254493883.0
43.45849,1.57123,1254597876.0
43.45834,1.5718,1254686036.0
43.45834,1.5718,1263391387.0
43.45831,1.57157,1263496442.0
43.45831,1.57157,1263582083.0
43.45831,1.57157,1263665532.0
43.45855,1.57211,1263749764.0
43.45855,1.57211,1263974321.0
43.45842,1.57154,1265856787.0
43.45843,1.57146,1265915803.0
43.46159,1.56636,1266444186.0
43.64561,1.45032,1266717244.0
48.86998,2.27407,1268239626.0
48.88557,2.31198,1268293369.0
48.88631,2.31268,1268315741.0
48.88636,2.31315,1268344366.0
48.8864,2.3131,1268384391.0
48.84578,2.26708,1269957663.0
48.83619,2.32504,1269992049.0
48.83206,2.31691,1270072596.0
48.84274,2.31217,1270108491.0
43.55662,1.47,1270564133.0
43.4585,1.57186,1274321688.0
43.5624,1.4774,1274350431.0
48.7218,2.3592,1274798042.0
45.88966,6.13697,1274907451.0
43.45859,1.57173,1275075283.0
43.56274,1.47708,1275295569.0
43.5632,1.47719,1275389494.0
