latitude,longitude,time
43.44383,6.76728,1254493883.0
43.44383,6.76728,1254560773.0
43.45824,1.57217,1254585149.0
43.45849,1.57123,1254653354.0
43.45779,1.57366,1254678055.0
43.45834,1.5718,1263391387.0
43.45834,1.5718,1263482426.0
43.49038,1.56715,1263490681.0
43.45831,1.57157,1263582083.0
43.45831,1.57157,1263665532.0
43.45831,1.57157,1263746216.0
43.45855,1.57211,1263974307.0
43.45827,1.57151,1265796556.0
43.55671,1.47006,1265804721.0
43.45829,1.57159,1265813798.0
43.45859,1.57162,1265821167.0
43.45842,1.57154,1265911301.0
48.84517,2.34534,1266439978.0
43.76481,1.38063,1266716643.0
48.8702,2.27246,1268239445.0
48.86997,2.27397,1268292091.0
48.88631,2.31268,1268315741.0
48.8864,2.31286,1268343300.0
48.8864,2.3131,1268384391.0
48.83209,2.31409,1269956509.0
48.8425,2.32134,1269978717.0
48.83619,2.32504,1270043595.0
48.84716,2.26453,1270052974.0
48.8324,2.31698,1270070533.0
48.83206,2.31691,1270108238.0
48.84761,2.26558,1270560529.0
43.56118,1.47795,1274287890.0
43.4609,1.57165,1274343054.0
48.7218,2.3592,1274798042.0
48.72789,2.35969,1274869023.0
45.89657,6.865,1274975636.0
43.4609,1.57165,1275034126.0
43.56294,1.47687,1275054770.0
43.56313,1.47747,1275065358.0
43.45859,1.57173,1275250701.0
43.5632,1.47719,1275389494.0
43.56267,1.4771,1275472957.0
