latitude,longitude,time
43.44383,6.76728,1254493883.0
43.44383,6.76728,1254560773.0
43.48308,1.57029,1254562354.0
43.50619,1.55616,1254564153.0
43.45878,1.57193,1254570454.0
43.45824,1.57217,1254585149.0
43.45834,1.57185,1254586349.0
43.45873,1.57145,1254586895.0
43.45755,1.57146,1254595777.0
43.45877,1.57188,1254597756.0
43.45849,1.57123,1254653354.0
43.45774,1.57421,1254654119.0
43.45853,1.57166,1254656937.0
43.45858,1.57214,1254658197.0
43.45779,1.57366,1254678055.0
43.45893,1.5716,1254682735.0
43.45862,1.57227,1254683395.0
43.45856,1.57201,1254685075.0
43.45834,1.5718,1263391387.0
43.45834,1.5718,1263482426.0
43.49038,1.56715,1263490681.0
43.45776,1.5731,1263493382.0
43.45852,1.57189,1263494042.0
43.45815,1.57176,1263494882.0
43.45831,1.57157,1263496442.0
43.45831,1.57157,1263582083.0
43.45831,1.57157,1263665532.0
43.45831,1.57157,1263746216.0
43.45829,1.57355,1263747366.0
43.45855,1.57211,1263974307.0
43.45827,1.57151,1265796556.0
43.55671,1.47006,1265804721.0
43.45829,1.57159,1265813798.0
43.45859,1.57162,1265821167.0
43.45847,1.57145,1265822427.0
43.45844,1.57194,1265824587.0
43.45758,1.57456,1265825907.0
43.45882,1.5713,1265829037.0
43.45838,1.57177,1265829347.0
43.45786,1.5724,1265830126.0
43.45829,1.57148,1265831895.0
43.45857,1.5717,1265833214.0
43.45839,1.57155,1265834061.0
43.4585,1.5717,1265840646.0
43.45826,1.57184,1265842866.0
43.45842,1.57154,1265911301.0
43.45822,1.57232,1265915502.0
48.84517,2.34534,1266439978.0
43.46159,1.56636,1266444186.0
43.76481,1.38063,1266716643.0
48.8702,2.27246,1268239445.0
48.86997,2.27397,1268292091.0
48.88598,2.31279,1268293021.0
48.88631,2.31268,1268315741.0
48.8864,2.31286,1268343300.0
48.8864,2.3131,1268384391.0
48.83209,2.31409,1269956509.0
48.84578,2.26708,1269957663.0
48.8425,2.32134,1269978717.0
48.83303,2.31615,1269980154.0
48.83619,2.32504,1269980460.0
48.83619,2.32504,1269984727.0
48.83209,2.31409,1269985625.0
48.83619,2.32504,1269987367.0
48.83619,2.32504,1269987846.0
48.83619,2.32504,1269988322.0
48.83619,2.32504,1269990368.0
48.83619,2.32504,1269992049.0
48.83619,2.32504,1270043595.0
48.84716,2.26453,1270052974.0
48.84497,2.26397,1270053894.0
48.8324,2.31698,1270070533.0
48.83206,2.31691,1270071697.0
48.83206,2.31691,1270108238.0
48.84761,2.26558,1270560529.0
43.56118,1.47795,1274287890.0
43.5621,1.47741,1274288434.0
43.4611,1.57173,1274289770.0
43.4611,1.57173,1274291501.0
43.45833,1.57132,1274292971.0
43.4609,1.57165,1274295167.0
43.45835,1.5718,1274296188.0
43.45936,1.56319,1274297875.0
43.4585,1.57186,1274298955.0
43.45936,1.56319,1274299917.0
43.4585,1.57186,1274301407.0
43.4585,1.57186,1274301708.0
43.4585,1.57186,1274302126.0
43.4585,1.57186,1274302427.0
43.4585,1.57186,1274304109.0
43.45936,1.56319,1274306269.0
43.45885,1.57187,1274309195.0
43.4585,1.57186,1274311190.0
43.4585,1.57186,1274311666.0
43.4585,1.57186,1274312627.0
43.4585,1.57186,1274313525.0
43.4585,1.57186,1274314366.0
43.4585,1.57186,1274314845.0
43.4585,1.57186,1274315565.0
43.4585,1.57186,1274316046.0
43.4585,1.57186,1274316822.0
43.4585,1.57186,1274317303.0
43.45815,1.57318,1274319277.0
43.4585,1.57186,1274321688.0
43.4609,1.57165,1274343054.0
43.56289,1.47676,1274347425.0
43.5632,1.47615,1274349644.0
48.7218,2.3592,1274798042.0
48.72789,2.35969,1274869023.0
45.89698,6.13951,1274872446.0
45.90408,6.14633,1274872762.0
45.88952,6.13718,1274873773.0
45.88961,6.13716,1274874249.0
45.8857,6.14142,1274878473.0
45.89979,6.14775,1274878774.0
45.89979,6.14775,1274879730.0
45.89979,6.14775,1274882790.0
45.88941,6.13736,1274883629.0
45.88899,6.13825,1274884884.0
45.88953,6.13721,1274885543.0
45.8962,6.15136,1274887349.0
45.8962,6.15136,1274887834.0
45.8962,6.15136,1274888675.0
45.88968,6.13702,1274889328.0
45.8891,6.13752,1274893773.0
45.8962,6.15136,1274895811.0
45.8962,6.15136,1274897491.0
45.8962,6.15136,1274898272.0
45.8857,6.14142,1274904150.0
45.8857,6.14142,1274904748.0
45.88965,6.13713,1274905832.0
45.89657,6.865,1274975636.0
45.89657,6.865,1274979214.0
43.4609,1.57165,1274984445.0
43.45838,1.5718,1274990688.0
43.4717,1.56366,1274993513.0
43.45859,1.57173,1274997646.0
43.4609,1.57165,1274998305.0
43.4609,1.57165,1274999027.0
43.4609,1.57165,1274999446.0
43.4609,1.57165,1275000707.0
43.45859,1.57173,1275004485.0
43.45859,1.57173,1275005087.0
43.45859,1.57173,1275005627.0
43.4609,1.57165,1275006286.0
43.45861,1.5721,1275008169.0
43.45859,1.57173,1275012278.0
43.45859,1.57173,1275015034.0
43.45859,1.57173,1275015524.0
43.45859,1.57173,1275018695.0
43.4609,1.57165,1275024879.0
43.4609,1.57165,1275034126.0
43.56341,1.47881,1275036043.0
43.5632,1.47612,1275036776.0
43.56269,1.47659,1275039512.0
43.56269,1.47659,1275040968.0
43.56269,1.47659,1275045976.0
43.5628,1.47656,1275047039.0
43.56294,1.47687,1275054770.0
43.56313,1.47747,1275065358.0
43.56252,1.47715,1275068658.0
