latitude,longitude,time
43.44383,6.76728,1254493883.0
43.45849,1.57123,1254653354.0
43.45774,1.57421,1254654119.0
43.45793,1.57421,1254654179.0
43.4581,1.57416,1254654237.0
43.45807,1.57457,1254654297.0
43.45827,1.57469,1254654357.0
43.45811,1.57464,1254654417.0
43.45817,1.57456,1254654476.0
43.45808,1.57452,1254654536.0
43.45814,1.57467,1254654596.0
43.45805,1.57463,1254654656.0
43.45812,1.57466,1254654716.0
43.45812,1.57468,1254654776.0
43.4581,1.57462,1254654836.0
43.45815,1.57459,1254654896.0
43.4585,1.5749,1254654956.0
43.45823,1.57464,1254655016.0
43.45832,1.57459,1254655076.0
43.45814,1.57461,1254655137.0
43.45815,1.57459,1254655197.0
43.45793,1.57451,1254655257.0
43.45786,1.57454,1254655317.0
43.45791,1.57435,1254655377.0
43.45803,1.57443,1254655439.0
43.4585,1.5748,1254655499.0
43.45833,1.5745,1254655558.0
43.4581,1.57446,1254655618.0
43.45789,1.57429,1254655678.0
43.45798,1.57397,1254655736.0
43.45761,1.57351,1254655796.0
43.45766,1.57322,1254655856.0
43.45797,1.57294,1254655916.0
43.4584,1.57276,1254655976.0
43.45827,1.57221,1254656039.0
43.45834,1.57174,1254656099.0
43.45861,1.57146,1254656159.0
43.45849,1.57184,1254656219.0
43.45853,1.57168,1254656279.0
43.45853,1.57166,1254656937.0
43.45858,1.57214,1254658197.0
43.45827,1.57226,1254658257.0
43.45829,1.5719,1254658377.0
43.45813,1.57207,1254658497.0
43.45852,1.57166,1254658617.0
43.45856,1.57184,1254658677.0
43.45836,1.5716,1254658737.0
43.45849,1.57163,1254658797.0
43.45833,1.57142,1254658856.0
43.45821,1.573,1254659036.0
43.45823,1.57191,1254659156.0
43.45821,1.57166,1254659216.0
43.4583,1.57194,1254659276.0
43.4583,1.57193,1254659336.0
43.45808,1.57221,1254659396.0
43.45803,1.57216,1254659456.0
43.45816,1.57206,1254659516.0
43.45816,1.57158,1254659636.0
43.45817,1.57179,1254659696.0
43.45803,1.57179,1254659756.0
43.45817,1.57183,1254659876.0
43.45818,1.5717,1254660056.0
43.45839,1.5718,1254660116.0
43.45822,1.57191,1254660356.0
43.45816,1.57191,1254660416.0
43.45802,1.57184,1254660476.0
43.45821,1.5718,1254660536.0
43.45863,1.57132,1254660596.0
43.45832,1.57145,1254660656.0
43.45844,1.57197,1254660716.0
43.45841,1.57191,1254660776.0
43.45846,1.57201,1254660837.0
43.45869,1.5722,1254660897.0
43.45838,1.57189,1254661017.0
43.45839,1.57192,1254661077.0
43.45779,1.57366,1254678055.0
43.4577,1.57355,1254678115.0
43.45774,1.57339,1254678175.0
43.45773,1.57377,1254678235.0
43.45774,1.57354,1254678295.0
43.4576,1.57333,1254678355.0
43.45772,1.57346,1254678415.0
43.45803,1.57384,1254678475.0
43.45868,1.57401,1254678535.0
43.45972,1.57458,1254678598.0
43.45801,1.57366,1254678718.0
43.45787,1.57363,1254678778.0
43.45768,1.57357,1254678836.0
43.45773,1.57359,1254678896.0
43.45771,1.5734,1254678956.0
43.45769,1.57355,1254679016.0
43.45776,1.57358,1254679079.0
43.45783,1.57362,1254679137.0
43.45777,1.57359,1254679197.0
43.4577,1.57365,1254679257.0
43.45764,1.57338,1254679317.0
43.45747,1.57351,1254679377.0
43.45723,1.57343,1254679437.0
43.45751,1.57348,1254679497.0
43.45776,1.57345,1254679557.0
43.45771,1.57346,1254679617.0
43.45764,1.57342,1254679677.0
43.45728,1.57343,1254679737.0
43.45809,1.57392,1254679797.0
43.45769,1.57358,1254679857.0
43.45765,1.57356,1254679917.0
43.45775,1.57356,1254679977.0
43.45776,1.57356,1254680037.0
43.45774,1.57363,1254680097.0
43.45776,1.57354,1254680157.0
43.45758,1.57348,1254680217.0
43.45768,1.5735,1254680277.0
43.45762,1.57349,1254680337.0
43.45758,1.57371,1254680397.0
43.45771,1.57351,1254680457.0
43.45791,1.57362,1254680517.0
43.45772,1.57343,1254680577.0
43.45778,1.57353,1254680637.0
43.45781,1.57364,1254680697.0
43.45783,1.57379,1254680757.0
43.45774,1.57326,1254680816.0
43.45768,1.57331,1254680876.0
43.45786,1.57291,1254680937.0
43.45799,1.57303,1254680997.0
43.45813,1.57263,1254681057.0
43.45801,1.5723,1254681117.0
43.45812,1.57226,1254681177.0
43.45836,1.57203,1254681235.0
43.45856,1.57212,1254681295.0
43.45893,1.5716,1254682735.0
43.45775,1.57168,1254682915.0
43.45862,1.57227,1254683395.0
43.45887,1.57183,1254683455.0
43.45868,1.57166,1254683515.0
43.45877,1.57176,1254683575.0
43.45875,1.5719,1254683635.0
43.45867,1.57191,1254683695.0
43.45856,1.57182,1254683755.0
43.45788,1.57158,1254683875.0
43.45876,1.5719,1254684175.0
43.45917,1.57205,1254684235.0
43.45893,1.57175,1254684295.0
43.45867,1.57169,1254684355.0
43.45858,1.57175,1254684415.0
43.4582,1.57181,1254684475.0
43.45828,1.57194,1254684535.0
43.45856,1.57201,1254685075.0
43.45874,1.57177,1254685196.0
43.45877,1.57181,1254685256.0
43.45869,1.57186,1254685556.0
43.45854,1.57189,1254685616.0
43.45835,1.57212,1254685796.0
43.45823,1.57187,1254685856.0
43.45837,1.57179,1254685916.0
43.4584,1.57166,1254685976.0
43.45834,1.5718,1254686036.0
43.45834,1.5718,1263391387.0
