latitude,longitude,cluster
37.65256,-122.45281,4
37.65468,-122.45301,4
37.65382,-122.44846,4
37.65537,-122.45069,4
37.6556,-122.45364,4
37.66558,-122.45944,4
37.66961,-122.46639,4
37.67879,-122.47185,4
37.70553,-122.47169,7
37.72161,-122.47535,7
37.72161,-122.47535,7
37.72771,-122.475,7
37.72803,-122.47499,7
37.73013,-122.4749,7
37.73322,-122.47511,7
37.74003,-122.47557,7
37.74328,-122.47589,7
37.74355,-122.47607,7
37.74347,-122.47608,7
37.7436,-122.47604,7
37.74354,-122.47606,7
37.74347,-122.4761,7
37.74347,-122.47608,7
37.74354,-122.47596,7
37.74896,-122.47617,7
37.76052,-122.47698,0
37.76643,-122.47758,0
37.77232,-122.47819,0
37.77329,-122.47186,0
37.77878,-122.47227,0
37.78048,-122.4749,0
37.78019,-122.48169,0
37.78014,-122.48279,0
37.78025,-122.48333,0
37.78026,-122.48327,0
37.78026,-122.48291,0
37.78039,-122.47954,0
37.78055,-122.47649,0
37.78085,-122.47045,0
37.78106,-122.46539,0
37.78121,-122.46229,0
37.78165,-122.45451,0
37.78427,-122.43409,9
37.78524,-122.4267,9
37.78487,-122.42293,9
37.77741,-122.41881,8
37.77636,-122.41467,8
37.77998,-122.40989,2
37.78392,-122.405,2
37.78496,-122.40529,2
37.78496,-122.40525,2
37.78539,-122.40535,2
37.78897,-122.40675,2
37.78862,-122.41016,2
37.79163,-122.4119,2
37.79113,-122.41625,9
37.79055,-122.42018,9
37.79267,-122.42124,9
37.79335,-122.42134,9
37.79597,-122.42174,9
37.79604,-122.42121,9
37.79487,-122.41816,9
37.79487,-122.41815,9
37.79374,-122.41798,9
37.7911,-122.41691,9
37.79154,-122.41356,2
37.79172,-122.41068,2
37.79171,-122.41068,2
37.79176,-122.41065,2
37.79177,-122.4107,2
37.79243,-122.41098,2
37.79112,-122.41604,9
37.79095,-122.41779,9
37.79137,-122.42091,9
37.79521,-122.42168,9
37.7955,-122.42333,9
37.79527,-122.42341,9
37.79493,-122.42336,9
37.79497,-122.42325,9
37.79436,-122.42309,9
37.79063,-122.4207,9
37.79133,-122.41585,9
37.79216,-122.40903,2
37.79242,-122.40598,2
37.79252,-122.40156,2
37.79419,-122.40043,2
37.79502,-122.40088,2
37.79301,-122.3977,2
37.79325,-122.39712,2
37.79521,-122.39674,2
37.79647,-122.39507,2
37.79453,-122.39304,2
37.79441,-122.39286,2
37.79402,-122.39349,2
37.79146,-122.39582,2
37.7891,-122.39867,2
37.78623,-122.40214,2
37.78352,-122.40552,2
37.78092,-122.40878,2
37.77763,-122.41302,2
37.77539,-122.4159,8
37.77635,-122.41772,8
37.77476,-122.41965,8
37.77368,-122.42111,8
37.77,-122.42231,8
37.76868,-122.42222,8
37.7621,-122.42156,8
37.7595,-122.42127,8
37.75844,-122.41904,8
37.75709,-122.41809,8
37.75805,-122.41685,8
37.75805,-122.41684,8
37.76138,-122.41719,8
37.76742,-122.41769,8
37.77019,-122.41771,8
37.77354,-122.41882,8
37.77586,-122.41946,8
37.77821,-122.41998,8
37.78148,-122.42059,8
37.78402,-122.4211,9
37.78745,-122.42178,9
37.78979,-122.42229,9
37.79149,-122.42267,9
37.79275,-122.42288,9
37.79866,-122.42407,9
37.80141,-122.42457,9
37.80519,-122.42347,9
37.80632,-122.41552,9
37.80845,-122.41178,9
37.8084,-122.41001,9
37.8084,-122.41002,9
37.80841,-122.40987,9
37.80839,-122.40986,9
37.80839,-122.40988,9
37.80835,-122.40971,9
37.80828,-122.40924,9
37.80828,-122.40924,9
37.8082,-122.40912,9
37.80655,-122.4053,2
37.80429,-122.40198,2
37.80068,-122.39873,2
37.79589,-122.39436,2
37.79331,-122.39359,2
37.79079,-122.39593,2
37.78946,-122.39686,2
37.78729,-122.4005,2
37.78489,-122.404,2
37.78189,-122.40522,2
37.78187,-122.40459,2
37.78227,-122.40409,2
37.78365,-122.40219,2
37.78557,-122.39976,2
37.78866,-122.39572,2
37.79002,-122.39506,2
37.7905,-122.3953,2
37.79013,-122.39721,2
37.78747,-122.40037,2
37.78499,-122.40356,2
37.7826,-122.40651,2
37.78154,-122.40909,2
37.77899,-122.41112,2
37.77802,-122.41555,8
37.77724,-122.41694,8
37.77529,-122.41906,8
37.77527,-122.41904,8
37.77368,-122.42089,8
37.77168,-122.42354,8
37.77086,-122.42451,8
37.76761,-122.42437,8
37.76483,-122.4239,8
37.76487,-122.4233,8
37.76488,-122.4232,8
37.76533,-122.42196,8
37.76853,-122.42226,8
37.77275,-122.42217,8
37.77614,-122.42275,8
37.77776,-122.42341,8
37.77667,-122.42473,8
37.77625,-122.42621,8
37.77531,-122.42599,8
37.77532,-122.42599,8
37.77501,-122.42591,8
37.77501,-122.42591,8
37.77431,-122.42582,8
37.77385,-122.42741,8
37.77123,-122.42688,8
37.77015,-122.42917,8
37.76849,-122.42766,8
37.76549,-122.43132,8
37.76447,-122.4328,8
37.76615,-122.42879,8
37.76629,-122.42634,8
37.76654,-122.42229,8
37.76656,-122.42212,8
37.76658,-122.4221,8
37.77259,-122.42256,8
37.77473,-122.41984,8
37.77695,-122.41742,8
37.77834,-122.41521,8
37.77992,-122.41326,2
37.7826,-122.4123,2
37.78388,-122.413,2
37.78355,-122.41574,2
37.78348,-122.41604,2
37.7832,-122.41785,9
37.78321,-122.41782,9
37.78215,-122.41857,8
37.78261,-122.41574,2
37.78447,-122.4159,2
37.78483,-122.4126,2
37.7856,-122.40949,2
37.78679,-122.40965,2
37.79008,-122.41044,2
37.7917,-122.41106,2
37.79271,-122.41427,9
37.79522,-122.41488,9
37.79897,-122.41566,9
37.80008,-122.41218,9
37.79993,-122.40966,2
37.79901,-122.40827,2
37.79901,-122.40827,2
37.79902,-122.40828,2
37.79848,-122.40746,2
37.79732,-122.40582,2
37.79558,-122.40505,2
37.79045,-122.40396,2
37.78715,-122.40314,2
37.78492,-122.40023,2
37.78242,-122.40157,2
37.78381,-122.40192,2
37.78461,-122.40089,2
37.78459,-122.4009,2
37.78461,-122.40089,2
37.78473,-122.40073,2
37.78476,-122.40072,2
37.78474,-122.4007,2
37.78613,-122.39916,2
37.78674,-122.40004,2
37.78747,-122.40109,2
37.78825,-122.40244,2
37.78953,-122.40218,2
