latitude,longitude,cluster
37.65256,-122.45281,8
37.65468,-122.45301,8
37.65382,-122.44846,8
37.65537,-122.45069,8
37.6556,-122.45364,8
37.66558,-122.45944,8
37.66961,-122.46639,8
37.67879,-122.47185,8
37.70553,-122.47169,8
37.72161,-122.47535,8
37.72161,-122.47535,8
37.72771,-122.475,8
37.72803,-122.47499,8
37.73013,-122.4749,8
37.73322,-122.47511,8
37.74003,-122.47557,8
37.74328,-122.47589,8
37.74355,-122.47607,8
37.74347,-122.47608,8
37.7436,-122.47604,8
37.74354,-122.47606,8
37.74347,-122.4761,8
37.74347,-122.47608,8
37.74354,-122.47596,8
37.74896,-122.47617,8
37.76052,-122.47698,8
37.76643,-122.47758,8
37.77232,-122.47819,8
37.77329,-122.47186,8
37.77878,-122.47227,8
37.78048,-122.4749,8
37.78019,-122.48169,8
37.78014,-122.48279,8
37.78025,-122.48333,8
37.78026,-122.48327,8
37.78026,-122.48291,8
37.78039,-122.47954,8
37.78055,-122.47649,8
37.78085,-122.47045,8
37.78106,-122.46539,8
37.78121,-122.46229,8
37.78165,-122.45451,8
37.78427,-122.43409,8
37.78524,-122.4267,8
37.78487,-122.42293,8
37.77741,-122.41881,8
37.77636,-122.41467,8
37.77998,-122.40989,8
37.78392,-122.405,8
37.78496,-122.40529,8
37.78496,-122.40525,8
37.78539,-122.40535,8
37.78897,-122.40675,8
37.78862,-122.41016,8
37.79163,-122.4119,8
37.79113,-122.41625,8
37.79055,-122.42018,8
37.79267,-122.42124,8
37.79335,-122.42134,8
37.79597,-122.42174,8
37.79604,-122.42121,8
37.79487,-122.41816,8
37.79487,-122.41815,8
37.79374,-122.41798,8
37.7911,-122.41691,8
37.79154,-122.41356,8
37.79172,-122.41068,8
37.79171,-122.41068,8
37.79176,-122.41065,8
37.79177,-122.4107,8
37.79243,-122.41098,8
37.79112,-122.41604,8
37.79095,-122.41779,8
37.79137,-122.42091,8
37.79521,-122.42168,8
37.7955,-122.42333,8
37.79527,-122.42341,8
37.79493,-122.42336,8
37.79497,-122.42325,8
37.79436,-122.42309,8
37.79063,-122.4207,8
37.79133,-122.41585,8
37.79216,-122.40903,8
37.79242,-122.40598,8
37.79252,-122.40156,8
37.79419,-122.40043,8
37.79502,-122.40088,8
37.79301,-122.3977,8
37.79325,-122.39712,8
37.79521,-122.39674,8
37.79647,-122.39507,8
37.79453,-122.39304,8
37.79441,-122.39286,8
37.79402,-122.39349,8
37.79146,-122.39582,8
37.7891,-122.39867,8
37.78623,-122.40214,8
37.78352,-122.40552,8
37.78092,-122.40878,8
37.77763,-122.41302,8
37.77539,-122.4159,8
37.77635,-122.41772,8
37.77476,-122.41965,8
37.77368,-122.42111,8
37.77,-122.42231,8
37.76868,-122.42222,8
37.7621,-122.42156,8
37.7595,-122.42127,8
37.75844,-122.41904,8
37.75709,-122.41809,8
37.75805,-122.41685,3
37.75805,-122.41684,3
37.76138,-122.41719,3
37.76742,-122.41769,3
37.77019,-122.41771,3
37.77354,-122.41882,3
37.77586,-122.41946,3
37.77821,-122.41998,3
37.78148,-122.42059,3
37.78402,-122.4211,3
37.78745,-122.42178,3
37.78979,-122.42229,3
37.79149,-122.42267,3
37.79275,-122.42288,3
37.79866,-122.42407,3
37.80141,-122.42457,3
37.80519,-122.42347,3
37.80632,-122.41552,3
37.80845,-122.41178,3
37.8084,-122.41001,3
37.8084,-122.41002,3
37.80841,-122.40987,3
37.80839,-122.40986,3
37.80839,-122.40988,3
37.80835,-122.40971,3
37.80828,-122.40924,3
37.80828,-122.40924,3
37.8082,-122.40912,3
37.80655,-122.4053,3
37.80429,-122.40198,3
37.80068,-122.39873,3
37.79589,-122.39436,3
37.79331,-122.39359,3
37.79079,-122.39593,3
37.78946,-122.39686,3
37.78729,-122.4005,3
37.78489,-122.404,3
37.78189,-122.40522,3
37.78187,-122.40459,3
37.78227,-122.40409,3
37.78365,-122.40219,3
37.78557,-122.39976,3
37.78866,-122.39572,3
37.79002,-122.39506,3
37.7905,-122.3953,3
37.79013,-122.39721,3
37.78747,-122.40037,3
37.78499,-122.40356,3
37.7826,-122.40651,3
37.78154,-122.40909,3
37.77899,-122.41112,3
37.77802,-122.41555,3
37.77724,-122.41694,3
37.77529,-122.41906,3
37.77527,-122.41904,3
37.77368,-122.42089,3
37.77168,-122.42354,3
37.77086,-122.42451,3
37.76761,-122.42437,3
37.76483,-122.4239,3
37.76487,-122.4233,3
37.76488,-122.4232,3
37.76533,-122.42196,3
