latitude,longitude,cluster
37.65256,-122.45281,9
37.65468,-122.45301,9
37.65382,-122.44846,9
37.65537,-122.45069,9
37.6556,-122.45364,9
37.66558,-122.45944,9
37.66961,-122.46639,9
37.67879,-122.47185,9
37.70553,-122.47169,9
37.72161,-122.47535,9
37.72161,-122.47535,9
37.72771,-122.475,9
37.72803,-122.47499,9
37.73013,-122.4749,9
37.73322,-122.47511,9
37.74003,-122.47557,9
37.74328,-122.47589,9
37.74355,-122.47607,9
37.74347,-122.47608,9
37.7436,-122.47604,9
37.74354,-122.47606,9
37.74347,-122.4761,9
37.74347,-122.47608,9
37.74354,-122.47596,9
37.74896,-122.47617,9
37.76052,-122.47698,9
37.76643,-122.47758,9
37.77232,-122.47819,9
37.77329,-122.47186,9
37.77878,-122.47227,9
37.78048,-122.4749,9
37.78019,-122.48169,9
37.78014,-122.48279,9
37.78025,-122.48333,9
37.78026,-122.48327,9
37.78026,-122.48291,9
37.78039,-122.47954,9
37.78055,-122.47649,9
37.78085,-122.47045,9
37.78106,-122.46539,9
37.78121,-122.46229,9
37.78165,-122.45451,9
37.78427,-122.43409,9
37.78524,-122.4267,9
37.78487,-122.42293,9
37.77741,-122.41881,9
37.77636,-122.41467,9
37.77998,-122.40989,9
37.78392,-122.405,9
37.78496,-122.40529,9
37.78496,-122.40525,9
37.78539,-122.40535,9
37.78897,-122.40675,9
37.78862,-122.41016,9
37.79163,-122.4119,9
37.79113,-122.41625,9
37.79055,-122.42018,9
37.79267,-122.42124,9
37.79335,-122.42134,9
37.79597,-122.42174,9
37.79604,-122.42121,9
37.79487,-122.41816,9
37.79487,-122.41815,9
37.79374,-122.41798,9
37.7911,-122.41691,9
37.79154,-122.41356,9
37.79172,-122.41068,9
37.79171,-122.41068,9
37.79176,-122.41065,9
37.79177,-122.4107,9
37.79243,-122.41098,9
37.79112,-122.41604,9
37.79095,-122.41779,9
37.79137,-122.42091,9
37.79521,-122.42168,9
37.7955,-122.42333,9
37.79527,-122.42341,9
37.79493,-122.42336,9
37.79497,-122.42325,9
37.79436,-122.42309,9
37.79063,-122.4207,9
37.79133,-122.41585,9
37.79216,-122.40903,9
37.79242,-122.40598,9
37.79252,-122.40156,9
37.79419,-122.40043,9
37.79502,-122.40088,9
37.79301,-122.3977,9
37.79325,-122.39712,9
37.79521,-122.39674,9
37.79647,-122.39507,9
37.79453,-122.39304,9
37.79441,-122.39286,9
37.79402,-122.39349,9
37.79146,-122.39582,9
37.7891,-122.39867,9
37.78623,-122.40214,9
37.78352,-122.40552,9
37.78092,-122.40878,9
37.77763,-122.41302,9
37.77539,-122.4159,9
37.77635,-122.41772,9
37.77476,-122.41965,9
37.77368,-122.42111,9
37.77,-122.42231,9
37.76868,-122.42222,9
37.7621,-122.42156,9
37.7595,-122.42127,9
37.75844,-122.41904,9
37.75709,-122.41809,9
37.75805,-122.41685,9
37.75805,-122.41684,9
37.76138,-122.41719,9
37.76742,-122.41769,9
37.77019,-122.41771,9
37.77354,-122.41882,9
37.77586,-122.41946,9
37.77821,-122.41998,9
37.78148,-122.42059,9
37.78402,-122.4211,9
37.78745,-122.42178,9
37.78979,-122.42229,9
37.79149,-122.42267,9
37.79275,-122.42288,9
37.79866,-122.42407,9
37.80141,-122.42457,9
37.80519,-122.42347,9
37.80632,-122.41552,9
37.80845,-122.41178,9
37.8084,-122.41001,9
37.8084,-122.41002,9
37.80841,-122.40987,9
37.80839,-122.40986,9
37.80839,-122.40988,9
37.80835,-122.40971,9
37.80828,-122.40924,9
37.80828,-122.40924,9
37.8082,-122.40912,9
37.80655,-122.4053,9
37.80429,-122.40198,9
37.80068,-122.39873,9
37.79589,-122.39436,9
37.79331,-122.39359,9
37.79079,-122.39593,9
37.78946,-122.39686,9
