latitude,longitude,cluster
37.78654,-122.42304,0
37.78079,-122.42201,0
37.77469,-122.42086,0
37.7719,-122.42334,0
37.7688,-122.42725,0
37.76876,-122.42721,0
37.76629,-122.42986,0
37.76607,-122.42986,0
37.76611,-122.42983,0
37.76624,-122.42987,0
37.76622,-122.42989,0
37.76617,-122.42984,0
37.76629,-122.42987,0
37.76636,-122.42993,0
37.76638,-122.42996,0
37.76637,-122.42996,0
37.76611,-122.42982,0
37.76617,-122.4298,0
37.76614,-122.42993,0
37.76624,-122.4299,0
37.76608,-122.43036,0
37.76623,-122.4274,0
37.76622,-122.42739,0
37.7662,-122.42741,0
37.76758,-122.42679,0
37.76919,-122.42683,0
37.76982,-122.42443,0
37.77009,-122.41805,0
37.76962,-122.41528,0
37.76949,-122.41106,0
37.76987,-122.40716,0
37.77325,-122.40303,0
37.77678,-122.39873,0
37.7788,-122.39743,8
37.77917,-122.39867,8
37.78279,-122.40321,8
37.78456,-122.40478,8
37.7845,-122.40477,8
37.78632,-122.40631,8
37.78687,-122.40654,8
37.79341,-122.40781,8
37.79476,-122.40813,8
37.79611,-122.4084,8
37.79711,-122.40575,8
37.79822,-122.40732,8
37.79822,-122.40729,8
37.79954,-122.40934,8
37.79986,-122.40963,8
37.8,-122.40983,8
37.80133,-122.41179,8
37.80381,-122.41533,8
37.80609,-122.41866,8
37.80763,-122.42054,8
37.80768,-122.4202,8
37.80372,-122.41823,8
37.80063,-122.41767,8
37.79825,-122.41897,8
37.79829,-122.42234,8
37.79837,-122.42233,8
37.79852,-122.42449,8
37.79842,-122.42492,8
37.79745,-122.43234,8
37.79908,-122.43595,8
37.80077,-122.43646,8
37.80056,-122.43813,8
37.79937,-122.44255,7
37.79938,-122.44255,7
37.80021,-122.44171,7
37.80022,-122.44159,7
37.80059,-122.43849,7
37.79978,-122.43743,7
37.80002,-122.43589,7
37.79803,-122.42892,7
37.79769,-122.43074,7
37.79815,-122.43578,7
37.79929,-122.43599,7
37.79932,-122.43951,7
37.80003,-122.44283,7
37.80049,-122.43911,7
37.8004,-122.43787,7
37.80018,-122.43786,7
37.80008,-122.43485,7
37.80088,-122.4262,7
37.80076,-122.42615,7
37.79568,-122.42448,7
37.79785,-122.40714,7
37.79826,-122.40215,7
37.79432,-122.40091,7
37.79448,-122.39991,7
37.79423,-122.4002,7
37.79505,-122.40073,7
37.79466,-122.40357,7
37.79436,-122.40631,7
37.79409,-122.40805,7
37.79429,-122.4097,2
37.79579,-122.41001,2
37.79639,-122.41181,2
37.80011,-122.41236,2
37.8001,-122.41236,2
37.80062,-122.41073,2
37.80148,-122.40936,2
37.80319,-122.40982,2
37.80318,-122.40981,2
37.8032,-122.40981,2
37.80318,-122.40982,2
37.80278,-122.40967,2
37.80056,-122.40926,2
37.80004,-122.40913,2
37.80004,-122.40912,2
37.80004,-122.40909,2
37.79853,-122.40924,2
37.79815,-122.41049,2
37.7972,-122.41081,2
37.79597,-122.42128,2
37.7956,-122.4244,2
37.79083,-122.42409,2
37.78495,-122.42294,2
37.7791,-122.42176,2
37.77367,-122.42112,2
37.7693,-122.42663,2
37.76719,-122.42931,2
37.76452,-122.43265,2
37.7625,-122.43293,2
37.75055,-122.43278,2
37.75055,-122.43278,2
37.75055,-122.43278,2
37.7505,-122.43381,4
37.74863,-122.43818,4
37.74654,-122.44145,4
37.7465,-122.44123,4
37.74587,-122.44232,4
37.74867,-122.44051,4
37.74894,-122.434,4
37.75183,-122.43417,4
37.75509,-122.4345,4
37.75969,-122.43494,4
37.7606,-122.43505,4
37.7609,-122.43505,4
37.76155,-122.43513,4
37.76172,-122.43516,4
37.763,-122.43469,4
37.76683,-122.42992,4
37.76938,-122.42667,4
37.77103,-122.42457,4
37.77726,-122.41695,4
37.78062,-122.41236,4
37.78313,-122.40934,4
37.78505,-122.40893,4
37.78438,-122.40842,4
37.78438,-122.40843,4
37.78419,-122.40828,4
37.78297,-122.40692,4
37.78035,-122.40337,4
37.78027,-122.40319,4
37.77822,-122.4007,4
37.77783,-122.39728,4
37.77865,-122.39685,4
37.77976,-122.39844,4
37.78085,-122.39952,4
37.78011,-122.38995,9
37.78206,-122.39236,9
37.78447,-122.39535,9
37.78351,-122.39908,9
37.78367,-122.40288,9
37.78557,-122.4066,9
37.78554,-122.40687,9
37.78677,-122.40805,9
37.7877,-122.40799,9
37.78853,-122.40784,9
37.78802,-122.40832,9
37.78809,-122.40824,9
37.78803,-122.40834,9
37.78807,-122.40841,9
37.78837,-122.40851,9
37.78764,-122.40885,9
37.78752,-122.41445,9
37.78664,-122.4118,9
37.78644,-122.41062,9
37.78736,-122.41041,9
37.78818,-122.41013,9
37.7908,-122.41059,9
37.79201,-122.41078,9
37.79475,-122.40973,9
37.79678,-122.4102,9
37.79949,-122.41074,9
37.80004,-122.40914,9
37.79982,-122.40903,9
37.79935,-122.4087,1
37.79931,-122.40863,1
37.79931,-122.40863,1
37.7976,-122.40642,1
37.79611,-122.40521,1
37.79465,-122.405,1
37.79064,-122.40418,1
37.78732,-122.40345,1
37.78596,-122.40254,1
37.7826,-122.4064,1
37.78234,-122.40429,1
37.78233,-122.40422,1
37.78353,-122.40241,1
37.78491,-122.39999,1
37.78542,-122.39667,1
37.78551,-122.39663,1
37.78587,-122.39669,1
37.78591,-122.39671,1
37.78569,-122.39669,1
37.78557,-122.39667,1
37.78549,-122.39674,1
37.78408,-122.39864,1
37.77804,-122.40618,1
37.77369,-122.41169,1
37.76954,-122.41552,1
37.76815,-122.41559,1
37.76445,-122.41515,1
37.76049,-122.41484,1
37.75563,-122.41437,1
37.75388,-122.41425,1
37.74822,-122.41382,1
37.74816,-122.41681,6
37.74802,-122.41982,6
37.74821,-122.42031,6
37.7504,-122.42252,6
37.7505,-122.42101,6
37.75044,-122.42054,6
37.74829,-122.42029,6
37.74543,-122.41997,6
37.74383,-122.42101,6
37.74304,-122.42151,6
37.74176,-122.42233,6
37.73836,-122.42396,6
37.73293,-122.42709,6
37.7286,-122.43139,6
37.72737,-122.43274,6
37.72461,-122.43463,6
37.72288,-122.431,6
37.72128,-122.4309,6
37.72129,-122.43091,6
37.72129,-122.43091,6
37.72088,-122.43123,6
37.72169,-122.43302,6
37.72377,-122.43553,6
37.72783,-122.43226,6
37.73163,-122.42847,6
37.73785,-122.42409,6
37.74115,-122.42284,6
37.74391,-122.42103,6
37.74811,-122.41846,3
37.75005,-122.41829,3
37.75305,-122.41861,3
37.75387,-122.41864,3
37.75191,-122.41842,3
37.74923,-122.41816,3
37.74828,-122.41572,3
37.74837,-122.41135,3
37.74846,-122.40831,3
37.74824,-122.40378,3
37.74593,-122.40435,3
37.74323,-122.40604,3
37.73037,-122.40392,3
37.71748,-122.39904,3
37.7127,-122.39605,3
37.6995,-122.39286,3
37.68623,-122.3899,3
37.67847,-122.38834,3
37.66648,-122.39582,3
37.65623,-122.40649,3
37.64289,-122.40601,3
37.61695,-122.38801,3
37.61745,-122.38755,3
37.61796,-122.38569,3
37.6162,-122.38427,3
37.6365,-122.40433,3
37.66239,-122.40136,5
37.67279,-122.39052,5
37.7104,-122.39543,5
37.72313,-122.40104,5
37.7368,-122.40307,5
37.76187,-122.39268,5
37.77462,-122.39639,5
37.77839,-122.39169,5
37.78419,-122.38823,5
37.78949,-122.38856,5
37.79392,-122.3927,5
37.79442,-122.39354,5
37.7976,-122.3963,5
37.80098,-122.3993,5
37.80532,-122.40372,5
37.80646,-122.40649,5
37.80587,-122.4121,5
37.80639,-122.41545,5
37.80622,-122.41619,5
37.80626,-122.41618,5
37.80626,-122.41617,5
37.80651,-122.41441,5
37.80705,-122.41048,5
37.80684,-122.40589,5
37.805,-122.40291,5
37.80155,-122.39948,5
37.79913,-122.39732,5
