latitude,longitude,time
37.74573,-122.39359,1212843182.0
37.61634,-122.3861,1212855501.0
37.6163,-122.38606,1212856722.0
37.77646,-122.39435,1212861319.0
37.61527,-122.3872,1212862329.0
37.61561,-122.38826,1212865851.0
37.61643,-122.38614,1212868438.0
37.61411,-122.39761,1212871777.0
37.61501,-122.38661,1212874154.0
37.77835,-122.39111,1212877338.0
37.61695,-122.38801,1212885365.0
37.78011,-122.38995,1212891667.0
37.79937,-122.44255,1212897217.0
37.65293,-122.45979,1212921268.0
37.61573,-122.38776,1212941064.0
37.61624,-122.38621,1212946165.0
37.6865,-122.39015,1212952489.0
37.61651,-122.38614,1212954048.0
37.68685,-122.39026,1212959604.0
37.61652,-122.38627,1212960208.0
