latitude,longitude,cluster
37.60878,-122.38686,2
37.6273,-122.4022,2
37.65433,-122.40707,2
37.67306,-122.39026,2
37.68681,-122.39023,2
37.70014,-122.39325,2
37.71322,-122.39665,2
37.72592,-122.40212,2
37.7385,-122.401,2
37.74997,-122.39242,2
37.74999,-122.39263,2
37.75114,-122.39528,2
37.75138,-122.39434,2
37.75133,-122.39437,2
37.75132,-122.39437,2
37.74999,-122.39332,2
37.74143,-122.39839,2
37.72902,-122.40287,2
37.71601,-122.39841,2
37.70328,-122.39368,2
37.69011,-122.39071,2
37.67656,-122.38847,2
37.6539,-122.4069,2
37.62996,-122.40133,2
37.6247,-122.40065,2
37.62169,-122.39947,2
37.60923,-122.38711,2
37.60874,-122.38687,2
37.60879,-122.38685,2
37.60874,-122.38688,2
37.60653,-122.38545,2
37.60204,-122.38241,2
37.62698,-122.40215,2
37.67593,-122.38893,2
37.68945,-122.39089,2
37.70257,-122.39385,2
37.71245,-122.39625,2
37.72358,-122.40122,2
37.73676,-122.40319,2
37.74715,-122.39374,2
37.74991,-122.39357,2
37.74903,-122.39713,2
37.74974,-122.39709,2
37.75082,-122.39349,2
37.75077,-122.39343,2
37.74359,-122.396,2
37.7319,-122.40437,2
37.72156,-122.40019,2
37.71368,-122.39677,2
37.68707,-122.39011,2
37.63715,-122.40411,2
37.62327,-122.40058,2
37.61753,-122.38747,2
37.61777,-122.38527,2
37.624,-122.40147,2
37.68089,-122.38891,2
37.69402,-122.39189,2
37.70708,-122.39481,2
37.71421,-122.39744,2
37.71882,-122.39962,2
37.72432,-122.40156,2
37.73081,-122.40427,2
37.73598,-122.40727,2
37.73934,-122.40812,2
37.75651,-122.40337,2
37.76955,-122.40553,2
37.77913,-122.40078,2
37.78175,-122.40089,2
37.7848,-122.40504,2
37.78667,-122.40677,2
37.78628,-122.4099,2
37.78687,-122.41126,2
37.78698,-122.41131,2
37.78605,-122.41117,2
37.78595,-122.41145,2
37.78595,-122.41146,2
37.78578,-122.41376,2
37.78514,-122.419,2
37.78294,-122.42262,2
37.78192,-122.42223,2
37.77698,-122.42133,2
37.77476,-122.42493,2
37.77454,-122.42651,2
37.77427,-122.42849,2
37.77372,-122.43306,2
37.77275,-122.43729,2
37.77252,-122.4373,2
37.77096,-122.43696,2
37.76963,-122.4361,2
37.76853,-122.43575,2
37.76678,-122.4356,2
37.76249,-122.43514,2
37.76235,-122.43516,2
37.75872,-122.43481,2
37.75234,-122.43419,2
37.75147,-122.42964,2
37.74824,-122.42931,2
37.74804,-122.42936,2
37.7482,-122.42937,2
37.75082,-122.43408,2
37.75336,-122.43431,2
37.75876,-122.43484,2
37.7625,-122.43532,2
37.76176,-122.43783,2
37.76192,-122.43838,2
37.76199,-122.44355,2
37.76298,-122.45231,2
37.76594,-122.45289,2
37.76852,-122.45344,2
37.77182,-122.45412,2
37.77753,-122.45526,2
37.78129,-122.46125,2
37.7814,-122.45809,2
37.78077,-122.45617,2
37.78115,-122.45956,2
37.78055,-122.4727,2
37.78045,-122.47527,2
37.78006,-122.48407,2
37.77971,-122.49151,2
37.77991,-122.49013,2
37.7801,-122.48553,2
37.78037,-122.4799,2
