latitude,longitude,cluster
37.80765,-122.41232,2
37.75306,-122.50573,4
37.76727,-122.45859,3
37.7387,-122.40644,3
37.73769,-122.40725,3
37.7349,-122.41049,3
37.7322,-122.41806,3
37.73163,-122.43471,3
37.72332,-122.44775,3
37.71112,-122.4554,3
37.7061,-122.47105,3
37.69117,-122.47059,3
37.67792,-122.47224,3
37.66889,-122.48485,3
37.65771,-122.49022,3
37.60559,-122.49507,3
37.60018,-122.48632,3
37.60474,-122.49431,3
37.64191,-122.49115,3
37.66548,-122.48552,3
37.67483,-122.47328,3
37.68826,-122.47054,3
37.70184,-122.47123,3
37.7104,-122.45865,3
37.72093,-122.44806,3
37.73094,-122.43637,3
37.73166,-122.41961,3
37.73575,-122.4088,3
37.73784,-122.407,3
37.73824,-122.40418,3
37.73826,-122.40413,3
37.73826,-122.40416,3
37.73824,-122.40417,3
37.73825,-122.40415,3
37.73824,-122.40415,3
37.73823,-122.40413,3
37.73825,-122.40413,3
37.73825,-122.40414,3
37.73824,-122.40414,3
37.73824,-122.40416,3
37.73824,-122.40415,3
37.73824,-122.40414,3
37.73825,-122.40414,3
37.73826,-122.40412,3
37.73825,-122.40412,3
37.73824,-122.40415,3
37.73824,-122.40414,3
37.73823,-122.40415,3
37.73822,-122.40416,3
37.7382,-122.40417,3
37.73816,-122.40419,3
37.73818,-122.40413,3
37.7382,-122.4041,3
37.7382,-122.4041,3
37.7382,-122.4041,3
37.73822,-122.40414,3
37.73823,-122.40417,3
37.73821,-122.40416,3
37.73821,-122.40418,3
37.73822,-122.40415,3
37.73822,-122.40415,3
37.73823,-122.40414,3
37.73823,-122.40415,3
37.73823,-122.40415,3
37.73823,-122.40413,3
37.73823,-122.40413,3
37.73822,-122.40412,3
37.73822,-122.40414,3
37.73822,-122.40412,3
37.73823,-122.40412,3
37.73824,-122.40413,3
37.73825,-122.40413,3
37.73825,-122.40413,3
37.73825,-122.40414,3
37.73825,-122.40414,3
37.73825,-122.40415,3
37.73825,-122.40416,3
37.73825,-122.40416,3
37.73835,-122.4042,3
37.73864,-122.40411,3
37.7418,-122.40325,3
37.74278,-122.39988,3
37.74598,-122.39704,3
37.7519,-122.39503,1
37.75131,-122.39539,1
37.75134,-122.39535,1
37.75121,-122.39473,1
37.75144,-122.39487,1
37.75126,-122.39526,1
37.74977,-122.3966,1
37.74863,-122.40702,1
37.74836,-122.41016,1
37.74824,-122.41778,1
37.74874,-122.42034,1
37.7515,-122.42057,1
37.75212,-122.42262,1
37.75192,-122.42498,1
37.75163,-122.42912,1
37.75134,-122.43361,1
37.75493,-122.43442,1
37.75756,-122.43726,1
37.75759,-122.43732,1
37.76229,-122.4359,1
37.76456,-122.43262,1
37.76789,-122.42835,1
37.77126,-122.42411,1
37.77447,-122.42005,1
37.77615,-122.41807,1
37.777,-122.41646,1
37.7809,-122.41219,1
37.78209,-122.41015,1
37.78193,-122.4099,1
37.782,-122.40987,1
37.78131,-122.40886,1
37.77741,-122.41326,1
37.77532,-122.41572,1
37.77337,-122.41837,1
37.77226,-122.4198,1
37.77156,-122.42237,1
37.7687,-122.42235,1
37.7661,-122.42208,1
37.76357,-122.42187,1
37.76171,-122.4217,1
37.75901,-122.42362,1
37.7564,-122.42338,1
37.75537,-122.42327,1
37.75252,-122.423,1
37.74916,-122.42269,1
37.74425,-122.42268,1
37.74424,-122.42267,1
37.74424,-122.42269,1
37.74423,-122.42269,1
37.74401,-122.42271,1
37.74576,-122.42452,1
37.7477,-122.4247,1
37.74935,-122.42675,1
37.74904,-122.43192,1
37.74965,-122.43614,1
37.75391,-122.43654,1
37.7578,-122.43801,1
37.75793,-122.43802,1
37.75929,-122.43509,1
37.7623,-122.4351,1
37.76524,-122.43168,1
37.76816,-122.42806,1
37.77025,-122.42536,1
37.77462,-122.42084,1
37.77768,-122.42139,1
37.78046,-122.42197,1
37.78627,-122.42319,1
37.78714,-122.42087,1
37.78846,-122.42022,1
37.78984,-122.42054,1
37.79198,-122.42099,1
37.7926,-122.41955,1
37.79098,-122.4175,1
37.79098,-122.4175,1
37.79154,-122.41316,1
37.79154,-122.41316,1
37.79193,-122.41031,1
37.79239,-122.4062,1
37.79243,-122.40355,1
37.79262,-122.40313,1
37.79248,-122.40251,1
37.79086,-122.40232,1
37.78832,-122.40009,1
37.78689,-122.39835,1
37.78527,-122.39608,1
37.78276,-122.39329,1
37.78065,-122.39072,1
37.77625,-122.39451,1
37.77037,-122.39789,1
37.76284,-122.39199,1
37.75898,-122.3904,1
37.75789,-122.39311,1
37.75846,-122.39319,1
37.75847,-122.3932,1
37.76244,-122.39359,1
37.76403,-122.39481,1
37.76373,-122.39933,1
37.76369,-122.40341,1
37.76457,-122.40674,1
37.76435,-122.41033,1
37.76478,-122.41304,1
37.76545,-122.41466,1
37.76522,-122.41728,1
37.76499,-122.42141,1
37.76796,-122.42209,1
37.76828,-122.4221,1
37.76825,-122.42212,1
37.77208,-122.42254,1
37.77439,-122.42079,1
37.77911,-122.42189,1
37.78537,-122.42291,1
37.78646,-122.42184,1
37.78783,-122.42173,1
37.78753,-122.42181,1
37.78753,-122.42181,1
37.7892,-122.42045,1
37.79096,-122.41771,1
37.79131,-122.41427,1
37.7921,-122.40907,1
37.79247,-122.40664,1
37.7928,-122.40416,1
37.79287,-122.40415,1
37.79288,-122.40423,1
37.79288,-122.40421,1
37.79275,-122.40424,1
37.79259,-122.40432,1
37.79284,-122.40414,1
37.7927,-122.40397,1
37.79311,-122.40407,1
37.79316,-122.40408,1
37.79349,-122.40334,1
37.79037,-122.40389,1
37.78997,-122.40588,1
37.78924,-122.40713,1
37.78924,-122.40713,1
37.78924,-122.40715,1
37.78959,-122.40538,1
37.78931,-122.40695,1
37.78927,-122.40675,1
37.78846,-122.40687,1
37.78606,-122.40646,1
37.78445,-122.40452,1
37.78342,-122.40288,1
37.7791,-122.40081,1
37.7693,-122.40554,1
37.75802,-122.4049,1
37.75279,-122.40296,1
37.74936,-122.40193,1
37.74939,-122.40184,1
37.74939,-122.40187,1
37.74941,-122.40186,1
37.74962,-122.39849,1
37.74852,-122.39672,1
37.74852,-122.39672,1
37.74735,-122.39618,1
37.74506,-122.39227,1
37.74506,-122.39227,1
37.74094,-122.38497,1
37.73629,-122.37942,1
37.73169,-122.37919,1
37.73097,-122.37646,1
37.73097,-122.37646,1
37.73108,-122.37713,1
37.73437,-122.37939,1
37.73916,-122.38153,1
37.74262,-122.38768,1
37.74262,-122.38769,1
37.74504,-122.39202,1
37.74707,-122.39559,1
37.74953,-122.3972,1
37.74956,-122.40355,1
37.74829,-122.41297,1
37.74816,-122.41996,1
37.74614,-122.42235,1
37.74494,-122.42462,1
37.7449,-122.42467,1
37.74489,-122.42467,1
37.7449,-122.42467,1
37.74497,-122.42458,1
37.74496,-122.4246,1
37.74496,-122.4246,1
37.74496,-122.4246,1
37.74495,-122.42459,1
37.74495,-122.42459,1
37.74496,-122.42461,1
37.74493,-122.42464,1
37.74496,-122.42456,1
37.74497,-122.42457,1
37.74497,-122.42457,1
37.74489,-122.42464,1
37.74493,-122.4246,1
37.74496,-122.42458,1
37.74494,-122.42462,1
37.74492,-122.4246,1
37.74496,-122.42461,1
37.74496,-122.42461,1
37.74497,-122.42456,1
37.74497,-122.42455,1
37.74492,-122.42461,1
37.74492,-122.42461,1
37.74494,-122.42462,1
37.74499,-122.42453,1
37.74492,-122.42465,1
37.74498,-122.42458,1
37.74496,-122.42457,1
37.74495,-122.42458,1
37.74494,-122.4246,1
37.74496,-122.4246,1
37.74497,-122.42459,1
37.74495,-122.42456,1
37.74494,-122.42457,1
37.74496,-122.42462,1
37.74501,-122.4246,1
37.74497,-122.42457,1
37.74492,-122.42464,1
37.74497,-122.42458,1
37.74495,-122.4246,1
37.74492,-122.42462,1
37.74493,-122.42462,1
37.74493,-122.42462,1
37.74397,-122.42252,1
37.74664,-122.41915,1
37.74875,-122.41803,1
37.7522,-122.41937,1
37.75369,-122.42062,1
37.75746,-122.41889,1
37.76237,-122.41935,1
37.76325,-122.42167,1
37.765,-122.41959,1
37.76501,-122.41942,1
37.76501,-122.41942,1
37.76209,-122.41514,1
37.75904,-122.41472,1
37.75918,-122.40985,1
37.75677,-122.40859,1
37.75677,-122.4086,1
37.75588,-122.4118,1
37.75574,-122.41421,1
37.75561,-122.41637,1
37.7561,-122.41884,1
37.75658,-122.41882,1
37.76168,-122.41932,1
37.76601,-122.41974,1
37.76985,-122.41996,1
37.77422,-122.41728,1
37.77607,-122.41481,1
37.77734,-122.41326,1
37.78208,-122.41,1
37.78374,-122.40807,1
37.78502,-122.40483,1
37.78503,-122.40455,1
37.78493,-122.40447,1
37.78609,-122.40197,1
37.78746,-122.40711,1
37.78634,-122.41465,1
37.78632,-122.41533,1
37.7881,-122.41667,1
37.78804,-122.41838,1
37.78715,-122.42291,1
37.78647,-122.42484,1
37.77946,-122.42352,1
37.77349,-122.42232,1
37.77139,-122.42255,1
37.76746,-122.42218,1
37.76505,-122.42195,1
37.76504,-122.42193,1
37.76487,-122.42399,1
37.76487,-122.42399,1
37.76755,-122.42429,1
37.76998,-122.42458,1
37.77499,-122.42086,1
37.77747,-122.42141,1
37.7842,-122.42275,1
37.79079,-122.42408,1
37.79292,-122.42308,1
37.79326,-122.42139,1
37.79354,-122.41804,1
37.79396,-122.41553,1
37.79468,-122.41477,1
37.79439,-122.41993,1
37.79389,-122.42454,1
37.79603,-122.42521,1
37.79902,-122.42852,1
37.7983,-122.43392,1
37.79811,-122.43525,1
37.7974,-122.44089,1
37.79994,-122.44284,1
37.79993,-122.44281,1
37.80048,-122.43916,1
37.79981,-122.43607,1
37.79728,-122.43555,1
37.79761,-122.43157,1
37.79759,-122.43221,1
37.79801,-122.4283,1
37.79835,-122.4256,1
37.79588,-122.42203,1
37.79626,-122.41862,1
37.79761,-122.4088,1
37.79852,-122.40161,1
37.79776,-122.40085,1
37.79271,-122.39978,1
37.79153,-122.40397,1
37.79102,-122.41125,1
37.78965,-122.42039,1
37.78851,-122.42938,1
37.7874,-122.43807,1
37.78641,-122.44609,1
37.77945,-122.44727,1
37.77296,-122.4463,1
37.77223,-122.45215,1
37.76736,-122.45844,1
37.76617,-122.46245,1
37.76585,-122.4695,1
37.76552,-122.47185,1
37.76552,-122.47184,1
37.76551,-122.47182,1
37.76552,-122.47181,1
37.76383,-122.47076,1
37.76405,-122.46623,1
37.76431,-122.46023,1
37.76605,-122.45553,1
37.76764,-122.45319,1
37.76954,-122.45067,1
37.76988,-122.44808,1
37.77131,-122.44423,1
37.77329,-122.43618,1
37.77342,-122.43508,1
37.7729,-122.43399,1
37.77206,-122.43078,1
37.77091,-122.42854,1
37.76795,-122.42908,1
37.76783,-122.42917,1
37.76703,-122.42979,1
37.76363,-122.43398,1
37.76227,-122.43937,1
37.76183,-122.44666,1
37.75716,-122.44755,1
37.75469,-122.44464,1
37.75351,-122.44498,1
37.75352,-122.44499,1
37.75454,-122.44463,1
37.7529,-122.44478,1
37.75012,-122.4455,1
37.7474,-122.44328,1
37.74867,-122.4384,1
37.75037,-122.43399,1
37.75154,-122.43011,1
37.75181,-122.42552,1
37.75216,-122.42029,1
37.7549,-122.41868,1
37.75751,-122.4189,1
37.76173,-122.41933,1
37.76339,-122.42111,1
37.76445,-122.42175,1
37.76482,-122.42385,1
37.76432,-122.43268,1
37.76289,-122.43504,1
37.76497,-122.4421,1
37.76741,-122.44477,1
