latitude,longitude,time
+37.65256,-122.45281,1212984507
+37.65468,-122.45301,1212984438
+37.65382,-122.44846,1212984394
+37.65537,-122.45069,1212984316
+37.6556,-122.45364,1212984264
+37.66558,-122.45944,1212984196
+37.66961,-122.46639,1212984136
+37.67879,-122.47185,1212984076
+37.70553,-122.47169,1212983960
+37.72161,-122.47535,1212983861
+37.72161,-122.47535,1212983840
+37.72771,-122.475,1212983780
+37.72803,-122.47499,1212983757
+37.73013,-122.4749,1212983697
+37.73322,-122.47511,1212983637
+37.74003,-122.47557,1212983577
+37.74328,-122.47589,1212983525
+37.74355,-122.47607,1212983415
+37.74347,-122.47608,1212983348
+37.7436,-122.47604,1212983292
+37.74354,-122.47606,1212983226
+37.74347,-122.4761,1212983162
+37.74347,-122.47608,1212983102
+37.74354,-122.47596,1212983035
+37.74896,-122.47617,1212982985
+37.76052,-122.47698,1212982846
+37.76643,-122.47758,1212982769
+37.77232,-122.47819,1212982695
+37.77329,-122.47186,1212982641
+37.77878,-122.47227,1212982550
+37.78048,-122.4749,1212982493
+37.78019,-122.48169,1212982429
+37.78014,-122.48279,1212982388
+37.78025,-122.48333,1212982328
+37.78026,-122.48327,1212982326
+37.78026,-122.48291,1212982277
+37.78039,-122.47954,1212982212
+37.78055,-122.47649,1212982163
+37.78085,-122.47045,1212982092
+37.78106,-122.46539,1212982053
+37.78121,-122.46229,1212981981
+37.78165,-122.45451,1212981912
+37.78427,-122.43409,1212981807
+37.78524,-122.4267,1212981731
+37.78487,-122.42293,1212981690
+37.77741,-122.41881,1212981552
+37.77636,-122.41467,1212981490
+37.77998,-122.40989,1212981430
+37.78392,-122.405,1212981375
+37.78496,-122.40529,1212981315
+37.78496,-122.40525,1212981253
+37.78539,-122.40535,1212981197
+37.78897,-122.40675,1212981133
+37.78862,-122.41016,1212981075
+37.79163,-122.4119,1212981012
+37.79113,-122.41625,1212980952
+37.79055,-122.42018,1212980892
+37.79267,-122.42124,1212980832
+37.79335,-122.42134,1212980821
+37.79597,-122.42174,1212980754
