latitude,longitude,time
37.6484,-122.45332,1212837072.0
37.65183,-122.45433,1212837134.0
37.65206,-122.45252,1212837189.0
37.65291,-122.45334,1212837249.0
37.6529,-122.45334,1212837310.0
37.6529,-122.45333,1212837370.0
37.65291,-122.45334,1212837430.0
37.65292,-122.45336,1212837490.0
37.65292,-122.45336,1212837550.0
37.65292,-122.45332,1212837615.0
37.65292,-122.45333,1212837670.0
37.65291,-122.45334,1212837731.0
37.65491,-122.45303,1212837791.0
37.66536,-122.45904,1212837852.0
37.67054,-122.46418,1212837912.0
37.67661,-122.4705,1212837973.0
37.68997,-122.47019,1212838021.0
37.70329,-122.47128,1212838069.0
37.7105,-122.45708,1212838128.0
37.72217,-122.44787,1212838185.0
37.7312,-122.43548,1212838239.0
37.73183,-122.41885,1212838293.0
37.73603,-122.40457,1212838353.0
37.74619,-122.39395,1212838408.0
37.7572,-122.39224,1212838453.0
37.76981,-122.3976,1212838514.0
37.77592,-122.39429,1212838576.0
37.77795,-122.39207,1212838635.0
37.7815,-122.39565,1212838695.0
37.7847,-122.40012,1212838756.0
37.78786,-122.40352,1212838820.0
37.79151,-122.40412,1212838877.0
37.79482,-122.40499,1212838937.0
37.79762,-122.40647,1212838999.0
37.79749,-122.40501,1212839055.0
37.79547,-122.40336,1212839113.0
37.79188,-122.40163,1212839174.0
37.79057,-122.40707,1212839235.0
37.78837,-122.41611,1212839295.0
37.78365,-122.41589,1212839353.0
37.78356,-122.41586,1212839355.0
37.78642,-122.41485,1212839415.0
37.78744,-122.41248,1212839469.0
37.78815,-122.40618,1212839530.0
37.79124,-122.40426,1212839589.0
37.79477,-122.40469,1212839649.0
37.79495,-122.40483,1212839710.0
37.79495,-122.40481,1212839746.0
37.79526,-122.40627,1212839809.0
37.79285,-122.40775,1212839866.0
37.78881,-122.41203,1212839927.0
37.78696,-122.41336,1212839988.0
37.78594,-122.41146,1212840048.0
37.78347,-122.41024,1212840082.0
37.7835,-122.41025,1212840083.0
37.78512,-122.40937,1212840143.0
37.78602,-122.4109,1212840209.0
37.7887,-122.40924,1212840263.0
37.78691,-122.40656,1212840323.0
37.78468,-122.40444,1212840383.0
37.78468,-122.40451,1212840411.0
37.78235,-122.40412,1212840467.0
37.78235,-122.40412,1212840469.0
37.78272,-122.4062,1212840530.0
37.78433,-122.40838,1212840595.0
37.78551,-122.41093,1212840651.0
37.78751,-122.41155,1212840711.0
37.79093,-122.41238,1212840759.0
37.79178,-122.41098,1212840819.0
37.79256,-122.40507,1212840879.0
37.7935,-122.40466,1212840940.0
37.79524,-122.40507,1212841000.0
37.79851,-122.4075,1212841061.0
37.79955,-122.40897,1212841126.0
37.80127,-122.40935,1212841161.0
37.8013,-122.40951,1212841216.0
37.80251,-122.40965,1212841262.0
37.80421,-122.41001,1212841321.0
37.80403,-122.4117,1212841368.0
37.80575,-122.40444,1212841470.0
37.79865,-122.39727,1212841531.0
37.78495,-122.38817,1212841652.0
37.77842,-122.39163,1212841718.0
37.77753,-122.39272,1212841772.0
37.76863,-122.39723,1212841832.0
37.75572,-122.39233,1212841884.0
37.74279,-122.39707,1212841939.0
37.73004,-122.40356,1212841992.0
37.71694,-122.39908,1212842045.0
37.70403,-122.39411,1212842091.0
37.68588,-122.39001,1212842143.0
37.67265,-122.39061,1212842197.0
37.63626,-122.40424,1212842326.0
37.62305,-122.40113,1212842379.0
37.6146,-122.39255,1212842451.0
37.61473,-122.38579,1212842504.0
37.61473,-122.38578,1212842505.0
37.61472,-122.38577,1212842555.0
37.61472,-122.38577,1212842559.0
37.62823,-122.40211,1212842734.0
37.64131,-122.40578,1212842787.0
37.65461,-122.40682,1212842829.0
37.66537,-122.39687,1212842892.0
37.67739,-122.38836,1212842929.0
37.69642,-122.39216,1212842991.0
37.71009,-122.3952,1212843034.0
37.72268,-122.40064,1212843079.0
37.73572,-122.40439,1212843133.0
37.74573,-122.39359,1212843182.0
37.74999,-122.39535,1212844009.0
37.75059,-122.39244,1212844068.0
37.75524,-122.39288,1212844126.0
37.76008,-122.39334,1212844185.0
37.76325,-122.39365,1212844245.0
37.7661,-122.39488,1212844300.0
37.7674,-122.39606,1212844368.0
37.77254,-122.40077,1212844426.0
37.77713,-122.39479,1212844493.0
37.78038,-122.39468,1212844540.0
37.78533,-122.40067,1212844601.0
37.7877,-122.40363,1212844671.0
37.79168,-122.40449,1212844720.0
37.79418,-122.40463,1212844780.0
37.79774,-122.40647,1212844846.0
37.79859,-122.40765,1212844900.0
37.79961,-122.40908,1212844960.0
37.80462,-122.4163,1212845032.0
37.80629,-122.41634,1212845081.0
37.80538,-122.41758,1212845140.0
37.80138,-122.41174,1212845209.0
37.79965,-122.40934,1212845274.0
37.80024,-122.41104,1212845320.0
37.79948,-122.4158,1212845388.0
37.79543,-122.41495,1212845440.0
37.79181,-122.41402,1212845501.0
37.79182,-122.41113,1212845562.0
37.79213,-122.41091,1212845623.0
37.79384,-122.40984,1212845683.0
37.79413,-122.4075,1212845744.0
37.79497,-122.40491,1212845804.0
37.79455,-122.40456,1212845874.0
37.79484,-122.40478,1212845925.0
37.79496,-122.40482,1212845989.0
37.79511,-122.40484,1212846046.0
37.79511,-122.40488,1212846107.0
37.79512,-122.40474,1212846167.0
